,	O
-LSB-	O
1940	O
-RSB-	O
.	O
-LSB-	O
México	LOC
-RSB-	O
,	O
La	O
Casa	O
de	O
España	LOC
en	O
México	LOC
,	O
-LSB-	O
1940	O
-RSB-	O
.	O
México	LOC
,	O
La	O
Casa	O
de	O
España	LOC
en	O
México	LOC
,	O
-LSB-	O
1939	O
-RSB-	O
.	O
México	LOC
,	O
La	O
Casa	O
de	O
España	LOC
de	O
México	LOC
,	O
1939	O
.	O
-LSB-	O
México	LOC
-RSB-	O
,	O
-LSB-	O
La	O
Casa	O
de	O
España	LOC
en	O
México	LOC
,	O
Fondo	O
de	O
Cultura	O
Económica	O
-RSB-	O
,	O
1939	O
.	O
Sevilla	LOC
,	O
por	O
los	O
Sres	O
.	O
Hijos	O
de	O
Hidalgo	O
y	O
González	O
de	O
la	O
Bonilla	O
,	O
Impresores	O
,	O
1794	O
.	O
Barcelona	LOC
,	O
Montaner	O
y	O
Simón	O
,	O
1893	O
.	O
Tomo	O
I	O
Barcelona	LOC
,	O
Montaner	O
y	O
Simón	O
,	O
1893	O
.	O
Tomo	O
III	O
Barcelona	LOC
,	O
Montaner	O
y	O
Simón	O
,	O
1893	O
.	O
Tomo	O
III	O
Sevilla	LOC
,	O
Félix	O
de	O
la	O
Puerta	O
,	O
1795	O
.	O
Valencia	LOC
,	O
José	O
de	O
Orga	O
,	O
1800	O
.	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
Americana	O
,	O
1860	O
Buenos	LOC
Aires	LOC
,	O
Martín	O
Biedma	O
,	O
1884	O
Viena	O
,	O
Karl	O
Gerold	O
,	O
1884	O
Barcelona	LOC
,	O
Casa	O
Editorial	O
Maucci	O
,	O
-LSB-	O
1915	O
-RSB-	O
.	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
y	O
Librería	O
de	O
Mayo	O
,	O
1871	O
Valencia	LOC
,	O
Imprenta	O
del	O
Diario	O
,	O
1792	O
.	O
Valencia	LOC
,	O
Benito	PERS
Monfort	PERS
,	O
1826	O
.	O
Valencia	LOC
,	O
Martín	O
Peris	O
,	O
1818	O
.	O
Valencia	LOC
,	O
Benito	PERS
Monfort	PERS
,	O
1781	O
.	O
Granada	LOC
,	O
Imprenta	O
de	O
El	O
Defensor	ORG
de	ORG
Granada	ORG
,	O
1904	O
.	O
México	LOC
,	O
Ediciones	O
de	O
la	O
Universidad	O
Nacional	O
Autónoma	O
,	O
1942	O
.	O
Madrid	LOC
;	O
Buenos	LOC
Aires	LOC
,	O
Renacimiento	O
,	O
1914	O
.	O
Valencia	LOC
,	O
Oficina	O
de	O
Estevan	O
,	O
1816	O
.	O
Valencia	LOC
,	O
Imprenta	O
de	O
Estevan	O
,	O
1814	O
.	O
Valencia	LOC
,	O
Imprenta	O
de	O
Estevan	O
,	O
1816	O
.	O
Valencia	LOC
,	O
Imprenta	O
de	O
Martín	O
Peris	O
,	O
1819	O
.	O
Valencia	LOC
,	O
José	O
Ferrer	O
de	O
Orga	O
y	O
Compañía	O
,	O
1812	O
.	O
Valencia	LOC
,	O
Imprenta	O
y	O
Librería	O
de	O
D.	O
Ildefonso	O
Mompié	O
de	O
Montagudo	O
,	O
1841	O
.	O
París	LOC
,	O
Garnier	O
Hermanos	O
,	O
Libreros-Editores	O
,	O
1894	O
.	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
Juan	O
A.	O
Alsina	O
,	O
1882	O
Montevideo	LOC
,	O
Tipografía	O
deLa	O
Obrera	O
Nacional	O
''	O
,	O
1890	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
La	O
Tribuna	O
Nacional	O
,	O
1888	O
París	LOC
,	O
Librería	O
española	O
y	O
americana	O
E.	O
Denné	O
,	O
1884	O
Buenos	LOC
Aires	LOC
,	O
Félix	O
Lajouane	O
,	O
1885	O
París	LOC
,	O
Librería	O
de	O
Rosa	O
y	O
Bouret	O
,	O
1864	O
Buenos	LOC
Aires	LOC
,	O
Teodomiro	O
Real	O
y	O
Prado	O
,	O
1865	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
,	O
Litografía	O
y	O
fundición	O
de	O
tipos	O
de	O
la	O
Sociedad	O
Anónima	O
,	O
1871	O
París	LOC
;	O
México	LOC
,	O
Librería	O
de	O
la	O
Viuda	O
de	O
C.	O
Bouret	O
,	O
1909	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
Cervantes	O
,	O
1897	O
de	O
Sevilla	LOC
,	O
Diego	O
López	O
de	O
Haro	O
,	O
1744	O
.	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
Mayo	O
,	O
1858	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
Artística	O
Buenos	LOC
Aires	LOC
,	O
1898	O
Lima	LOC
,	O
Imprenta	O
y	O
Librería	O
del	O
Universo	O
de	O
Carlos	O
Prince	O
,	O
1889	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
deEl	O
Courrier	O
de	O
la	O
Plata	O
''	O
,	O
1884	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
Europea	O
Moreno	O
y	O
Defensa	O
,	O
1894	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
Europea	O
Moreno	O
y	O
Defensa	O
,	O
1895	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
Europea	O
de	O
M.	O
A.	O
Rosas	O
,	O
1897	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
Europea	O
de	O
M.	O
A.	O
Rosas	O
,	O
1899	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
M.	O
Biedma	O
,	O
1902	O
Buenos	LOC
Aires	LOC
,	O
Carlos	O
Cañavalle	O
,	O
1870	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
del	O
Siglo	O
,	O
1869	O
Buenos	LOC
Aires	LOC
,	O
Librería	O
y	O
Casa	O
Editora	O
de	O
Jesús	O
Menéndez	O
,	O
1936	O
Buenos	LOC
Aires	LOC
,	O
Félix	O
Lajouane	O
,	O
1894	O
La	LOC
Habana	LOC
,	O
Imprenta	O
del	O
Diario	O
de	O
la	O
Marina	O
,	O
1858	O
Yucatán	LOC
-LRB-	O
México	LOC
-RRB-	O
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1950	O
París	LOC
,	O
Librería	O
Europea	O
de	O
Baudry	O
,	O
1838	O
.	O
México	LOC
,	O
Tipografía	O
de	O
O.R.	O
Spíndola	O
&	O
Comp.	O
,	O
1888	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
Tailhade	O
&	O
Rosselli	O
,	O
1899	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
la	O
Universidad	O
,	O
1930	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
la	O
Universidad	O
,	O
1928	O
Buenos	LOC
Aires	LOC
,	O
Imp.	O
,	O
Lit	O
.	O
y	O
Fund	O
.	O
de	O
tipos	O
de	O
la	O
Sociedad	O
Anónima	O
,	O
1871	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
,	O
Litografía	O
y	O
Fundición	O
de	O
tipos	O
de	O
la	O
Sociedad	O
Anónima	O
,	O
1871	O
Valencia	LOC
,	O
Joan	PERS
Mey	PERS
,	O
1564	O
.	O
Barcelona	LOC
,	O
Teresa	PERS
Piferrer	PERS
,	O
1764	O
.	O
Barcelona	LOC
,	O
Vives	O
,	O
1874	O
.	O
Barcelona	LOC
,	O
Tarascó	O
,	O
Viladomat	O
y	O
Cuesta	O
Impr.	O
,	O
1897	O
-	O
.	O
Salamanca	LOC
,	O
Imp	O
.	O
de	O
la	O
Santa	O
Cruz	O
,	O
-LSB-	O
1743	O
-RSB-	O
.	O
México	LOC
,	O
Imprenta	O
de	O
Juan	O
R.	O
Navarro	O
,	O
1853	O
París	LOC
,	O
Librería	O
Española	O
de	O
Garnier	O
Hermanos	O
,	O
1880	O
París	LOC
,	O
Librería	O
Española	O
de	O
Garnier	O
Hermanos	O
,	O
1889	O
Paz	O
de	O
Ayacucho	O
,	O
Imprenta	O
de	O
la	O
Época	O
,	O
1847	O
Pamplona	LOC
,	O
Imprenta	O
de	O
Benito	O
Cosculluela	O
,	O
1785	O
.	O
Barcelona	LOC
,	O
Esteban	O
Liberós	O
,	O
a	O
costa	O
de	O
Juan	O
Sapera	O
,	O
1627	O
.	O
Buenos	LOC
Aires	LOC
,	O
G.Kraft.	O
,	O
1910	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
de	O
La	O
Esperanza	O
,	O
1876	O
La	LOC
Habana	LOC
,	O
Publicaciones	O
del	O
Ministerio	O
de	O
Educación	O
,	O
Dirección	O
de	O
Cultura	O
,	O
1947	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
Franklin	O
,	O
1876	O
Buenos	LOC
Aires	LOC
,	O
Pedro	O
Irume	O
editor	O
,	O
1885	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
Buenos	LOC
Aires	LOC
,	O
1866	O
París	LOC
,	O
Imprenta	O
de	O
Paul	O
Dupont	O
,	O
1872	O
Montevideo	LOC
,	O
Librería	O
Nacional	O
de	O
A.	O
Barreiro	O
y	O
Ramos	O
,	O
1883	O
.	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
La	O
Tribuna	O
,	O
1872	O
Sevilla	LOC
,	O
Imp	O
.	O
de	O
E.	O
Rasco	O
,	O
1896	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Fondo	O
Histórico	O
y	O
Bibliográfico	O
José	O
Toribio	O
Medina	O
,	O
1956	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
de	O
la	O
Librería	O
Mercurio	O
,	O
1878	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
de	O
la	O
Librería	O
Mercurio	O
,	O
1878	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Fondo	O
Histórico	O
y	O
Bibliográfico	O
José	O
Toribio	O
Medina	O
,	O
1952	O
.	O
México	LOC
,	O
Manuel	O
C.	O
de	O
Villegas	O
,	O
1868	O
México	LOC
,	O
Secretaría	O
de	O
Educación	O
Pública	O
,	O
1944	O
Gante	O
,	O
Imprenta	O
de	O
Eug	O
.	O
Vanderhaeghen	O
,	O
1869	O
México	LOC
,	O
Ignacio	PERS
Cumplido	PERS
,	O
1871	O
México	LOC
,	O
Ediciones	O
Lotería	O
Nacional	O
,	O
1947	O
París	LOC
,	O
Librería	O
de	O
Rosa	O
y	O
Bouret	O
,	O
1861	O
Salamanca	LOC
,	O
Herederos	O
de	O
Matías	O
Gast	O
,	O
1583	O
.	O
Buenos	LOC
Aires	LOC
,	O
Editorial	O
Losada	O
,	O
1955	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Universidad	O
,	O
Facultad	O
de	O
Filosofía	O
y	O
Educación	O
,	O
Instituto	O
de	O
Investigaciones	O
Histórico-Culturales	O
,	O
1953	O
.	O
Buenos	LOC
Aires	LOC
,	O
Atalaya	O
,	O
1946	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Del	O
Pacífico	O
,	O
1957	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Zig-Zag	O
,	O
1908	O
.	O
París	LOC
,	O
Impr	O
.	O
de	O
Augusto	PERS
Bobée	PERS
,	O
1825	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Impr	O
.	O
Chilena	O
,	O
1854	O
.	O
Firenze	LOC
,	O
Fussi	O
;	O
Sansoni	O
,	O
1954	O
Milano	LOC
,	O
Feltrinelli	O
,	O
1958	O
Reus	O
,	O
Tipografía	O
de	O
Celestí	O
Ferrando	O
,	O
1892	O
.	O
Barcelona	LOC
,	O
La	O
Academia	O
,	O
-LSB-	O
1897	O
-RSB-	O
.	O
Barcelona	LOC
,	O
Impremta	O
de	O
la	O
Renaixença	O
,	O
1893	O
.	O
Londres	LOC
;	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
R.	O
Ackermann	O
Strand	O
,	O
1826	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
.	O
Valparaíso	LOC
,	O
Imprenta	O
y	O
Litografía	O
Excelsior	O
,	O
1888	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Sociedad	O
de	O
Bibliófilos	O
Chilenos	O
,	O
1952	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
Universitaria	O
,	O
1943	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Editorial	O
del	O
Nuevo	O
Extremo	O
,	O
1958	O
.	O
-LSB-	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
s.n.	O
,	O
1810	O
-RSB-	O
.	O
Barcelona	LOC
,	O
Imprenta	O
del	O
Heredero	O
de	O
Pablo	O
Riera	O
,	O
1865	O
.	O
Habana	LOC
,	O
Imprenta	O
del	O
Tiempo	O
,	O
1862	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Fondo	O
Histórico	O
y	O
Bibliográfico	O
José	O
Toribio	O
Medina	O
,	O
1958	O
.	O
México	LOC
,	O
Librería	O
de	O
J.M.	O
Andrade	O
,	O
1858	O
Barcelona	LOC
,	O
Librería	O
de	O
Juan	O
y	O
Antonio	O
Bastinos	O
,	O
1888	O
.	O
Barcelona	LOC
,	O
Librería	O
de	O
Juan	O
y	O
Antonio	O
Bastinos	O
,	O
1888	O
Barcelona	LOC
,	O
Librería	O
de	O
Antonio	PERS
J.	PERS
Bastinos	PERS
,	O
1897	O
Guatemala	O
,	O
Imprenta	O
de	O
la	O
Paz	O
,	O
1866	O
San	O
Antonio	O
de	O
Areco	O
,	O
Talleres	O
Gráficos	O
Colón	O
,	O
1929	O
Buenos	LOC
Aires	LOC
,	O
Librería	O
del	O
Plata	O
,	O
1879	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
La	O
Pampa	O
,	O
1872	O
San	O
Antonio	O
de	O
Areco	O
,	O
Talleres	O
Gráficos	O
Colón	O
,	O
1936	O
.	O
Buenos	LOC
Aires	LOC
,	O
LibreríaLa	O
Facultad	O
''	O
de	O
Juan	O
Roldán	O
,	O
1915	O
.	O
Buenos	LOC
Aires	LOC
,	O
Editorial	O
Proa	O
,	O
1926	O
San	O
Antonio	O
de	O
Areco	O
,	O
Imprenta	O
Colón	O
,	O
1928	O
.	O
San	O
Antonio	O
de	O
Areco	O
,	O
Talleres	O
Gráficos	O
Colón	O
,	O
1928	O
.	O
Barcelona	LOC
,	O
Ramón	O
Sopena	O
,	O
1939	O
.	O
Barcelona	LOC
,	O
Ramón	O
Sopena	O
,	O
1935	O
.	O
Barcelona	LOC
,	O
Librería	O
de	O
Antonio	PERS
J.	PERS
Bastinos	PERS
,	O
1899	O
Barcelona	LOC
,	O
Llibreria	O
d'Alvar	O
Verdaguer	O
,	O
1873	O
.	O
San	O
Antonio	O
de	O
Areco	O
,	O
Francisco	O
A.	O
Colombo	O
,	O
1922	O
.	O
Barcelona	LOC
,	O
N.	O
Ramirez	O
,	O
1883	O
.	O
Barcelona	LOC
,	O
Impremta	O
La	O
Renaixensa	O
,	O
1889	O
.	O
Barcelona	LOC
,	O
Antonio	O
J.Bastinos	O
,	O
1907	O
.	O
Barcelona	LOC
,	O
Librería	O
de	O
Sucesores	O
de	O
Blas	O
Camí	O
,	O
1912	O
.	O
París	LOC
,	O
D.	O
I.	O
Boix	O
y	O
C.ª	O
,	O
1852	O
.	O
Barcelona	LOC
,	O
Imprenta	O
y	O
Librería	O
de	O
Subirana	O
Hermanos	O
,	O
1892	O
Burgos	O
,	O
Casa	O
Hijos	O
de	O
Santiago	O
Rodríguez	O
,	O
1921	O
.	O
Buenos	LOC
Aires	LOC
,	O
Agencia	O
General	O
de	O
Librería	O
y	O
Publicaciones	O
,	O
1923	O
.	O
Buenos	LOC
Aires	LOC
.	O
San	O
Antonio	O
de	O
Areco	O
,	O
Talleres	O
Gráficos	O
Colón	O
,	O
1929	O
.	O
Buenos	LOC
Aires	LOC
,	O
Ediciones	O
Agro	O
,	O
1945	O
.	O
Barcelona	LOC
,	O
en	O
la	O
Imprenta	O
de	O
los	O
Herederos	O
de	O
Roca	O
,	O
1836	O
València	LOC
,	O
Librería	O
de	O
Pascual	O
Aguilar	O
,	O
1894	O
.	O
Barcelona	LOC
,	O
Imprempta	O
de	O
Henrich	O
y	O
Cª	O
,	O
1904	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
de	O
la	O
Librería	O
del	O
Mercurio	O
,	O
1874	O
.	O
París	LOC
,	O
Imprenta	O
de	O
E.	O
Thunot	O
y	O
Cía	O
,	O
1854	O
.	O
-LSB-	O
Santiago	LOC
de	LOC
Chile	LOC
-RSB-	O
,	O
Imprenta	O
de	O
La	O
Opinión	O
,	O
1833	O
.	O
Barcelona	LOC
,	O
Llibreria	O
d'Alvar	O
Verdaguer	O
,	O
1881	O
.	O
Lleyda	O
,	O
Estampa	O
de	O
Joseph	O
A.	O
Pagés	O
,	O
1910	O
.	O
Barcelona	LOC
,	O
Impremta	O
de	O
La	O
Renaixensa	O
,	O
1887	O
.	O
Pisa	LOC
,	O
Librería	O
Goliardica	O
,	O
1955	O
Lima	LOC
,	O
en	O
casa	O
de	O
Julián	O
Santos	O
de	O
Saldaña	O
,	O
por	O
Jorge	O
López	O
de	O
Herrera	O
,	O
1647	O
Barcelona	LOC
,	O
Llibreria	O
de	O
Francisco	O
Puig	O
,	O
1901	O
.	O
Formosa	O
,	O
América-Sapucai	O
,	O
1955	O
.	O
La	O
Plata	O
,	O
Imprenta	O
El	O
Mercurio	O
,	O
1893	O
Barcelona	LOC
,	O
en	O
la	O
Imprenta	O
de	O
José	O
Torner	O
,	O
1828	O
.	O
Barcelona	LOC
,	O
Tip	O
.	O
L'Avenç	O
,	O
1900	O
.	O
Barcelona	LOC
,	O
Impr	O
.	O
de	O
B.	O
Espona	O
,	O
1833	O
.	O
Barcelona	LOC
,	O
Impr	O
.	O
de	O
Joseph	O
Tauló	O
,	O
1842	O
.	O
Barcelona	LOC
,	O
en	O
la	O
Imprenta	O
de	O
Tecla	O
Pla	O
Viuda	O
,	O
1821	O
.	O
Barcelona	LOC
,	O
Imprenta	O
de	O
la	O
Viuda	O
Pla	O
,	O
1823	O
.	O
Barcelona	LOC
,	O
Llibreria	O
de	O
Francesc	O
Puig	O
,	O
1906	O
Barcelona	LOC
,	O
Impr	O
.	O
de	O
Tecla	O
Pla	O
Viuda	O
,	O
1817	O
.	O
Barcelona	LOC
,	O
Imprenta	O
de	O
José	O
Torner	O
,	O
1828	O
.	O
Barcelona	LOC
,	O
Impr	O
.	O
de	O
la	O
Viuda	O
Pla	O
,	O
1823	O
.	O
Barcelona	LOC
,	O
A.	O
Verdaguer	O
,	O
1899	O
.	O
Barcelona	LOC
,	O
Llibrería	O
d'Alvar	O
Verdaguer	O
,	O
-LSB-	O
1885	O
?	O
-RSB-	O
Barcelona	LOC
,	O
Llibr	O
.	O
de	O
Francisco	PERS
Martorell	PERS
,	O
1861	O
.	O
Valencia	LOC
,	O
Albatros	O
Hispanofila	O
,	O
1990	O
Buenos	LOC
Aires	LOC
,	O
Prudent	O
Hnos	O
.	O
y	O
Moetze	O
,	O
1901	O
.	O
Buenos	LOC
Aires	LOC
,	O
Prudent	O
Hnos	O
.	O
y	O
Moetzel	O
,	O
1901	O
.	O
Buenos	LOC
Aires	LOC
,	O
Prudent	O
Hnos	O
.	O
y	O
Moetzel	O
,	O
1903	O
.	O
Buenos	LOC
Aires	LOC
,	O
Agro	O
,	O
1945	O
.	O
Barcelona	LOC
,	O
Biblioteca	O
deLo	O
Teatro	O
Regional	O
''	O
,	O
1897	O
México	LOC
,	O
-LSB-	O
editor	O
no	O
identificado	O
-RSB-	O
,	O
1957-1963	O
México	LOC
,	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1946-1956	O
.	O
--	O
Núm	O
.	O
especial	O
1950	O
.	O
--	O
A	O
la	O
ONU	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
.	O
Buenos	LOC
Aires	LOC
,	O
Losada	O
,	O
1949	O
.	O
Buenos	LOC
Aires	LOC
,	O
Editorial	ORG
Losada	ORG
,	O
1952	O
Barcelona	LOC
,	O
Bartomeu	O
Baixarías	O
,	O
1909	O
.	O
Lima	LOC
,	O
Publicaciones	O
del	O
Instituto	O
de	O
Literatura	O
de	O
la	O
Facultad	O
de	O
Letras	O
de	O
la	O
Universidad	O
Nacional	O
Mayor	O
de	O
San	O
Marcos	O
,	O
1957	O
México	LOC
,	O
Librería	O
de	O
Galván	O
,	O
1842	O
Bilbao	LOC
,	O
Espasa-Calpe	ORG
,	O
1932	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
La	O
Nación	O
,	O
1898	O
.	O
Buenos	LOC
Aires	LOC
,	O
Editorial	O
Losada	O
,	O
1938	O
.	O
Barcelona	LOC
,	O
Impr	O
.	O
de	O
Valenti	O
Torras	O
,	O
1843	O
Barcelona	LOC
,	O
Estampa	O
de	O
Joseph	O
Rubio	O
,	O
1841	O
.	O
Barcelona	LOC
,	O
Llibr	O
.	O
d'Edualt	O
Puig	O
,	O
1872	O
.	O
Paris	LOC
,	O
Librería	O
de	O
Garnier	O
Hermanos	O
,	O
1873	O
.	O
Barcelona	LOC
,	O
Imprenta	O
de	O
la	O
Viuda	O
e	O
Hijos	O
de	O
Gorghs	O
,	O
1831	O
.	O
-LSB-	O
Barcelona	LOC
-RSB-	O
,	O
Estampa	O
Espanyola	O
,	O
1883	O
.	O
Barcelona	LOC
,	O
Estampa	O
de	O
Joseph	O
Torner	O
,	O
1840	O
.	O
Buenos	LOC
Aires	LOC
,	O
L.	O
J.	O
Rosso	O
y	O
Cía	O
,	O
1915	O
Pisa	LOC
,	O
Giardini	O
,	O
1898	O
Barcelona	LOC
,	O
Imp	O
.	O
La	O
Renaixensa	O
,	O
1885	O
.	O
Lima	LOC
,	O
Imprenta	O
del	O
Estado	O
,	O
1919	O
.	O
Barcelona	LOC
,	O
Llibreria	O
d'Alvar	O
Verdaguer	O
,	O
1873	O
Palma	LOC
,	O
Imprenta	O
y	O
librería	O
de	O
D.	O
Estevan	O
Trias	O
,	O
1850	O
Lima	LOC
,	O
Imprenta	ORG
Nacional	ORG
de	O
Barrionuevo	O
Hnos.	O
,	O
1904	O
Lima	LOC
,	O
Imp	O
.	O
de	O
Torres	O
Aguirre	O
,	O
1886	O
Barcelona	LOC
,	O
Tip	O
.	O
de	O
L'Avenç	O
,	O
1907	O
Lima	LOC
,	O
Imprenta	O
del	O
Estado	O
,	O
1903	O
València	LOC
,	O
Librerías	O
de	O
Juan	PERS
Mariana	PERS
y	PERS
Sanz	PERS
,	O
1876	O
.	O
Barcelona	LOC
,	O
La	O
Ilustració	O
Catalana	O
,	O
ca.	O
1904	O
Buenos	LOC
Aires	LOC
,	O
El	O
Ateneo	O
,	O
1928	O
València	LOC
,	O
Juan	PERS
Mariana	PERS
y	PERS
Sanz	PERS
,	O
1875	O
.	O
Palma	LOC
de	LOC
Mallorca	LOC
,	O
Amengual	O
y	O
Muntaner	O
,	O
1905	O
Barcelona	LOC
,	O
Estampa	O
d'Henrich	O
y	O
Cª	O
,	O
1914	O
Barcelona	LOC
,	O
Biblioteca	O
deLo	O
Teatre	O
Regional	O
''	O
,	O
1899	O
.	O
México	LOC
,	O
Imp	O
.	O
de	O
V.	O
Agüeros	O
,	O
1902	O
Barcelona	LOC
,	O
Montaner	O
y	O
Simón	O
,	O
1888	O
.	O
Buenos	LOC
Aires	LOC
,	O
Librería	O
y	O
Casa	O
Editorial	O
de	O
Jesús	O
Menéndez	O
,	O
1937	O
Buenos	LOC
Aires	LOC
,	O
Cesáreo	O
García	O
Librero-editor	O
,	O
1905	O
Buenos	LOC
Aires	LOC
,	O
Establecimiento	O
Gráfico	O
de	O
A.	O
Monkes	O
,	O
1908	O
Buenos	LOC
Aires	LOC
,	O
Hachette	O
,	O
1955	O
.	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
Gutenberg	O
,	O
1886	O
Buenos	LOC
Aires	LOC
,	O
La	O
Cultura	O
Argentina	LOC
,	O
1915	O
Buenos	LOC
Aires	LOC
,	O
Imp	O
.	O
y	O
Estereotipia	O
de	O
La	O
Nación	O
,	O
1908	O
Buenos	LOC
Aires	LOC
,	O
Cabaut	O
y	O
Cía.	O
,	O
1903	O
Santiago	LOC
de	LOC
Chile	LOC
,	O
Imprenta	O
de	O
Julio	O
Belín	O
i	O
Compañía	O
,	O
1850	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
La	O
Tribuna	O
,	O
1877	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
de	O
la	O
Universidad	O
,	O
1929	O
Buenos	LOC
Aires	LOC
,	O
Ediciones	ORG
Estrada	ORG
,	O
1948	O
Buenos	LOC
Aires	LOC
,	O
Editorial	O
Martín	O
Fierro	O
,	O
1926	O
New	LOC
York	LOC
,	O
Gabriel	O
Wells	O
,	O
1921	O
Buenos	LOC
Aires	LOC
,	O
Editorial	O
Minerva	O
,	O
1927	O
Caracas	LOC
,	O
Tip	O
.	O
Herrera	O
Irigoyen	O
&	O
Cia.	O
,	O
1899	O
Brusselas	O
,	O
por	O
Roger	O
Velpius	O
,	O
1607	O
Lima	LOC
,	O
Perú	O
,	O
Editorial	O
P.T.C.M.	O
,	O
1948	O
Lima	LOC
,	O
Tipografía	O
dEl	ORG
Mensajero	ORG
,	O
1853	O
Lima	LOC
,	O
Imprenta	O
de	O
El	O
Lucero	O
,	O
1901	O
Valladolid	LOC
,	O
Imp	O
.	O
y	O
Librería	O
Nacional	O
y	O
Extranjera	O
de	O
Andrés	O
Martín	O
,	O
1900	O
.	O
Barcelona	LOC
,	O
Bistagne	O
,	O
1933	O
.	O
México	LOC
D.F.	O
,	O
Editores	O
Asociados	O
,	O
1950	O
.	O
Coyoacán	O
,	O
D.	O
F.	O
:	O
-LSB-	O
s.n.	O
-RSB-	O
,	O
1943-1947	O
.	O
París	LOC
,	O
Boletín	O
de	O
la	O
Unión	O
de	O
Intelectuales	O
Españoles	O
,	O
1944	O
-	O
París	LOC
,	O
Partido	O
Comunista	O
,	O
-LRB-	O
1950	O
-	O
-RRB-	O
México	LOC
D.F.	O
,	O
Segrel	O
,	O
-LRB-	O
1950	O
-	O
-RRB-	O
.	O
Barcelona	LOC
,	O
Imp	O
.	O
de	O
Jayme	O
Romeu	O
,	O
1640	O
.	O
València	LOC
,	O
Bancaixa	O
,	O
Obra	O
Social	O
;	O
Universitat	O
de	O
València	LOC
,	O
Patronat	O
Cinc	O
Segles	O
-LSB-	O
etc	O
-RSB-	O
,	O
1997	O
Amberes	LOC
,	O
Gerónimo	O
y	O
Juan	O
Baptista	O
Verdussen	O
,	O
1669	O
Huesca	LOC
,	O
Juan	PERS
Nogués	PERS
,	O
1646	O
.	O
Valencia	LOC
,	O
Joan	PERS
Mey	PERS
,	O
1567	O
.	O
Barcelona	LOC
,	O
Por	O
Antonio	O
la	O
Cavallería	O
,	O
1677	O
.	O
Buenos	LOC
Aires	LOC
,	O
Imprenta	O
y	O
Librerías	O
de	O
Mayo	O
,	O
1876	O
Montevideo	LOC
,	O
A.	O
Barreiro	O
y	O
Ramos	O
,	O
1894	O
Buenos	LOC
Aires	LOC
,	O
Félix	O
Lajouane	O
,	O
1889	O
París	LOC
,	O
Librería	O
de	O
Delaunay	O
,	O
1837	O
.	O
Barcelona	LOC
,	O
Llibreria	O
Catolica	O
,	O
1886	O
.	O
Puigcerdà	O
,	O
Impr	O
.	O
de	O
Joan	O
